Date,Slot,Req
11/05/2025,00:00,0
11/05/2025,00:15,0
12/05/2025,00:00,0
12/05/2025,00:15,0
13/05/2025,00:00,0
13/05/2025,00:15,0
14/05/2025,00:00,0
14/05/2025,00:15,0
15/05/2025,00:00,0
15/05/2025,00:15,0
16/05/2025,00:00,0
16/05/2025,00:15,0
17/05/2025,00:00,0
17/05/2025,00:15,0
11/05/2025,00:30,0
11/05/2025,00:45,0
12/05/2025,00:30,0
12/05/2025,00:45,0
13/05/2025,00:30,0
13/05/2025,00:45,0
14/05/2025,00:30,0
14/05/2025,00:45,0
15/05/2025,00:30,0
15/05/2025,00:45,0
16/05/2025,00:30,0
16/05/2025,00:45,0
17/05/2025,00:30,0
17/05/2025,00:45,0
11/05/2025,01:00,0
11/05/2025,01:15,0
12/05/2025,01:00,0
12/05/2025,01:15,0
13/05/2025,01:00,0
13/05/2025,01:15,0
14/05/2025,01:00,0
14/05/2025,01:15,0
15/05/2025,01:00,0
15/05/2025,01:15,0
16/05/2025,01:00,0
16/05/2025,01:15,0
17/05/2025,01:00,0
17/05/2025,01:15,0
11/05/2025,01:30,0
11/05/2025,01:45,0
12/05/2025,01:30,0
12/05/2025,01:45,0
13/05/2025,01:30,0
13/05/2025,01:45,0
14/05/2025,01:30,0
14/05/2025,01:45,0
15/05/2025,01:30,0
15/05/2025,01:45,0
16/05/2025,01:30,0
16/05/2025,01:45,0
17/05/2025,01:30,0
17/05/2025,01:45,0
11/05/2025,02:00,0
11/05/2025,02:15,0
12/05/2025,02:00,0
12/05/2025,02:15,0
13/05/2025,02:00,0
13/05/2025,02:15,0
14/05/2025,02:00,0
14/05/2025,02:15,0
15/05/2025,02:00,0
15/05/2025,02:15,0
16/05/2025,02:00,0
16/05/2025,02:15,0
17/05/2025,02:00,0
17/05/2025,02:15,0
11/05/2025,02:30,0
11/05/2025,02:45,0
12/05/2025,02:30,0
12/05/2025,02:45,0
13/05/2025,02:30,0
13/05/2025,02:45,0
14/05/2025,02:30,0
14/05/2025,02:45,0
15/05/2025,02:30,0
15/05/2025,02:45,0
16/05/2025,02:30,0
16/05/2025,02:45,0
17/05/2025,02:30,0
17/05/2025,02:45,0
11/05/2025,03:00,0
11/05/2025,03:15,0
12/05/2025,03:00,0
12/05/2025,03:15,0
13/05/2025,03:00,0
13/05/2025,03:15,0
14/05/2025,03:00,0
14/05/2025,03:15,0
15/05/2025,03:00,0
15/05/2025,03:15,0
16/05/2025,03:00,0
16/05/2025,03:15,0
17/05/2025,03:00,0
17/05/2025,03:15,0
11/05/2025,03:30,0
11/05/2025,03:45,0
12/05/2025,03:30,0
12/05/2025,03:45,0
13/05/2025,03:30,0
13/05/2025,03:45,0
14/05/2025,03:30,0
14/05/2025,03:45,0
15/05/2025,03:30,0
15/05/2025,03:45,0
16/05/2025,03:30,0
16/05/2025,03:45,0
17/05/2025,03:30,0
17/05/2025,03:45,0
11/05/2025,04:00,0
11/05/2025,04:15,0
12/05/2025,04:00,0
12/05/2025,04:15,0
13/05/2025,04:00,0
13/05/2025,04:15,0
14/05/2025,04:00,0
14/05/2025,04:15,0
15/05/2025,04:00,0
15/05/2025,04:15,0
16/05/2025,04:00,0
16/05/2025,04:15,0
17/05/2025,04:00,0
17/05/2025,04:15,0
11/05/2025,04:30,0
11/05/2025,04:45,0
12/05/2025,04:30,0
12/05/2025,04:45,0
13/05/2025,04:30,0
13/05/2025,04:45,0
14/05/2025,04:30,0
14/05/2025,04:45,0
15/05/2025,04:30,0
15/05/2025,04:45,0
16/05/2025,04:30,0
16/05/2025,04:45,0
17/05/2025,04:30,0
17/05/2025,04:45,0
11/05/2025,05:00,0
11/05/2025,05:15,0
12/05/2025,05:00,0
12/05/2025,05:15,0
13/05/2025,05:00,0
13/05/2025,05:15,0
14/05/2025,05:00,0
14/05/2025,05:15,0
15/05/2025,05:00,0
15/05/2025,05:15,0
16/05/2025,05:00,0
16/05/2025,05:15,0
17/05/2025,05:00,0
17/05/2025,05:15,0
11/05/2025,05:30,0
11/05/2025,05:45,0
12/05/2025,05:30,0
12/05/2025,05:45,0
13/05/2025,05:30,0
13/05/2025,05:45,0
14/05/2025,05:30,0
14/05/2025,05:45,0
15/05/2025,05:30,0
15/05/2025,05:45,0
16/05/2025,05:30,0
16/05/2025,05:45,0
17/05/2025,05:30,0
17/05/2025,05:45,0
11/05/2025,06:00,35.31
11/05/2025,06:15,35.31
12/05/2025,06:00,38.77
12/05/2025,06:15,38.77
13/05/2025,06:00,38.79
13/05/2025,06:15,38.79
14/05/2025,06:00,37.62
14/05/2025,06:15,37.62
15/05/2025,06:00,37.74
15/05/2025,06:15,37.74
16/05/2025,06:00,32.41
16/05/2025,06:15,32.41
17/05/2025,06:00,26.49
17/05/2025,06:15,26.49
11/05/2025,06:30,35.31
11/05/2025,06:45,35.31
12/05/2025,06:30,38.77
12/05/2025,06:45,38.77
13/05/2025,06:30,38.79
13/05/2025,06:45,38.79
14/05/2025,06:30,37.62
14/05/2025,06:45,37.62
15/05/2025,06:30,37.74
15/05/2025,06:45,37.74
16/05/2025,06:30,32.41
16/05/2025,06:45,32.41
17/05/2025,06:30,26.49
17/05/2025,06:45,26.49
11/05/2025,07:00,35.76
11/05/2025,07:15,35.76
12/05/2025,07:00,40.99
12/05/2025,07:15,40.99
13/05/2025,07:00,41.03
13/05/2025,07:15,41.03
14/05/2025,07:00,39.78
14/05/2025,07:15,39.78
15/05/2025,07:00,39.91
15/05/2025,07:15,39.91
16/05/2025,07:00,33.35
16/05/2025,07:15,33.35
17/05/2025,07:00,27.24
17/05/2025,07:15,27.24
